         30819661 function calls (30815093 primitive calls) in 57.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      337    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
    518/1    0.001    0.000   57.779   57.779 {built-in method builtins.exec}
       11    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     2009    0.001    0.000    0.001    0.000 glu_info.py:83(set_active_context)
      132    0.001    0.000    0.002    0.000 util.py:156(get_decoders)
      204    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     4002    0.001    0.000    0.001    0.000 __init__.py:652(set_state)
     3266    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1923    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
     2013    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
      613    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     2001    0.001    0.000    0.001    0.000 {method 'appendleft' of 'collections.deque' objects}
      318    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
       30    0.001    0.000    0.001    0.000 getlimits.py:41(<lambda>)
     2864    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       19    0.000    0.000    0.224    0.012 __init__.py:1(<module>)
      120    0.000    0.000    0.001    0.000 __init__.py:1699(__init__)
     2006    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
     5837    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      202    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1041(get_data)
  366/115    0.000    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      316    0.000    0.000    0.017    0.000 overrides.py:166(decorator)
     4452    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
     1923    0.000    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
      192    0.000    0.000    0.001    0.000 __init__.py:1189(_apply_region_unpack)
        1    0.000    0.000    0.026    0.026 gl.py:35(<module>)
      239    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      616    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
      403    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      312    0.000    0.000    0.001    0.000 __init__.py:1392(__init__)
       11    0.000    0.000    0.001    0.000 __init__.py:345(namedtuple)
        1    0.000    0.000    0.000    0.000 linalg.py:2170(lstsq)
   360/12    0.000    0.000    0.460    0.038 {built-in method builtins.__import__}
      624    0.000    0.000    0.000    0.000 sprite.py:160(__eq__)
     1188    0.000    0.000    0.000    0.000 util.py:209(__eq__)
      504    0.000    0.000    0.590    0.001 __init__.py:832(get_texture)
      132    0.000    0.000    0.001    0.000 util.py:164(<listcomp>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
