         30819661 function calls (30815093 primitive calls) in 57.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:409(get_framebuffer_size)
      110    0.000    0.000    0.000    0.000 __init__.py:1733(__del__)
        1    0.000    0.000    0.000    0.000 shapes.py:36(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:473(vander)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
       28    0.000    0.000    0.000    0.000 event.py:178(register_event_type)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:295(detect_encoding)
        3    0.000    0.000    0.000    0.000 posixpath.py:228(expanduser)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:446(activate)
        1    0.000    0.000    0.012    0.012 pyglet_delegate.py:36(<module>)
        1    0.000    0.000    0.004    0.004 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:120(_WindowsFlavour)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1594(datetime)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        2    0.000    0.000    0.000    0.000 clock.py:399(_get_nearest_ts)
        3    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
       12    0.000    0.000    0.000    0.000 __init__.py:767(__lt__)
        9    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.001    0.001 resource.py:36(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
        6    0.000    0.000    0.000    0.000 runtime.py:1084(__init__)
        1    0.000    0.000    0.000    0.000 clock.py:36(<module>)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 warnings.py:20(_showwarnmsg_impl)
       57    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       10    0.000    0.000    0.000    0.000 pyglet_view.py:270(mouseMoved_)
        4    0.000    0.000    0.000    0.000 core.py:115(doc_note)
        1    0.000    0.000    0.000    0.000 genetic_algo.py:10(__init__)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
       10    0.000    0.000    0.000    0.000 extras.py:239(getdoc)
       36    0.000    0.000    0.000    0.000 getlimits.py:39(<lambda>)
        8    0.000    0.000    0.000    0.000 core.py:8099(getdoc)
        1    0.000    0.000    0.000    0.000 {method 'accumulate' of 'numpy.ufunc' objects}
       83    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.140    0.140 __init__.py:198(_create_shadow_window)
        5    0.000    0.000    0.000    0.000 datetime.py:415(_check_date_fields)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       36    0.000    0.000    0.000    0.000 allocation.py:83(__init__)
      114    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        3    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2819(__new__)
        4    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 clock.py:180(__init__)
        2    0.000    0.000    0.000    0.000 cocoa.py:140(getBitsPerPixel)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:239(_set_array_types)
        1    0.000    0.000    0.002    0.002 pyglet_view.py:35(<module>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        2    0.000    0.000    0.000    0.000 posixpath.py:334(normpath)
        1    0.000    0.000    0.004    0.004 _datasource.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:186(_set_up_aliases)
        6    0.000    0.000    0.000    0.000 functools.py:517(decorating_function)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
        4    0.000    0.000    0.000    0.000 platform.py:824(uname)
        1    0.000    0.000    0.000    0.000 __init__.py:78(CocoaWindow)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
       20    0.000    0.000    0.000    0.000 mixins.py:16(_binary_method)
       16    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        5    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.429    0.429 car.py:1(<module>)
       24    0.000    0.000    0.000    0.000 dyld.py:61(dyld_image_suffix_search)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        2    0.000    0.000    0.001    0.001 __init__.py:490(set_mouse_platform_visible)
        3    0.000    0.000    0.000    0.000 enum.py:594(_find_new_)
        1    0.000    0.000    0.000    0.000 numeric.py:824(outer)
        3    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
        6    0.000    0.000    0.000    0.000 runtime.py:428(get_metaclass)
        5    0.000    0.000    0.000    0.000 weakref.py:287(update)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        1    0.000    0.000   57.067   57.067 __init__.py:99(run)
       11    0.000    0.000    0.000    0.000 _collections_abc.py:766(__contains__)
        2    0.000    0.000    0.004    0.002 lib.py:249(load_framework)
        3    0.000    0.000    0.003    0.001 __init__.py:452(set_visible)
        1    0.000    0.000    0.009    0.009 pyglet_textview.py:36(<module>)
        2    0.000    0.000    0.000    0.000 pyglet_view.py:167(setFrameSize_)
        1    0.000    0.000    0.000    0.000 subprocess.py:700(Popen)
        5    0.000    0.000    0.000    0.000 __init__.py:38(__getattr__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:2216(timezone)
        7    0.000    0.000    0.000    0.000 core.py:2555(_arraymethod)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 threading.py:777(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:286(_nearest_pow2)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
       13    0.000    0.000    0.000    0.000 _internal.py:827(npy_ctypes_check)
       10    0.000    0.000    0.000    0.000 extras.py:235(__init__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:433(__enter__)
       30    0.000    0.000    0.000    0.000 enum.py:768(value)
        1    0.000    0.000    0.000    0.000 threading.py:766(Thread)
        9    0.000    0.000    0.000    0.000 enum.py:547(_get_mixins_)
        1    0.000    0.000    0.000    0.000 linalg.py:73(_determine_error_states)
        4    0.000    0.000    0.000    0.000 cocoa.py:158(__init__)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vertexdomain.py:328(VertexList)
        1    0.000    0.000    0.000    0.000 defchararray.py:1805(chararray)
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6674(type_aliases_gen)
       24    0.000    0.000    0.000    0.000 dyld.py:52(dyld_library_path)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        1    0.000    0.000    0.000    0.000 shapes.py:157(_ShapeBase)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:72(english_capitalize)
       35    0.000    0.000    0.000    0.000 datetime.py:383(_check_int_field)
       37    0.000    0.000    0.000    0.000 enum.py:527(<lambda>)
        1    0.000    0.000    0.000    0.000 pickle.py:407(_Pickler)
       14    0.000    0.000    0.000    0.000 util.py:61(asstr)
        1    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 platform.py:1001(_sys_version)
        2    0.000    0.000    0.000    0.000 core.py:2949(_update_from)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 genetic_algo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:584(_can_use)
       24    0.000    0.000    0.000    0.000 dyld.py:92(dyld_executable_path_search)
       21    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 clock.py:684(schedule_interval)
       70    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.430    0.430 game.py:1(<module>)
        2    0.000    0.000    0.000    0.000 base.py:147(<listcomp>)
       72    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.000    0.000 pathlib.py:1056(Path)
        1    0.000    0.000    0.000    0.000 zipfile.py:1180(ZipFile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:658(_code_to_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:793(date)
    27/13    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 __init__.py:333(set_caption)
        1    0.000    0.000    0.000    0.000 runtime.py:1189(DeallocationObserver_Implementation)
       58    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        8    0.000    0.000    0.000    0.000 core.py:8094(__init__)
        1    0.000    0.000    0.000    0.000 _binary.py:15(<module>)
       71    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
        1    0.000    0.000    0.000    0.000 random.py:101(Random)
        1    0.000    0.000    0.000    0.000 api.py:23(FFI)
        3    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
        1    0.000    0.000    0.000    0.000 base.py:147(__init__)
        1    0.000    0.000    0.000    0.000 util.py:36(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:366(__new__)
        3    0.000    0.000    0.000    0.000 threading.py:82(RLock)
        1    0.000    0.000    0.000    0.000 clock.py:150(Clock)
       24    0.000    0.000    0.000    0.000 dyld.py:58(dyld_fallback_library_path)
        3    0.000    0.000    0.000    0.000 runtime.py:1114(rawmethod)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:237(_get_machar)
        1    0.000    0.000    0.000    0.000 polynomial.py:1007(poly1d)
        1    0.000    0.000    0.000    0.000 __init__.py:609(Group)
        1    0.000    0.000    0.000    0.000 Image.py:3294(Exif)
        1    0.000    0.000    0.000    0.000 pyglet_window.py:36(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:623(SpooledTemporaryFile)
        2    0.000    0.000    0.000    0.000 __init__.py:78(get_display)
        4    0.000    0.000    0.000    0.000 cocoatypes.py:10(encoding_for_ctype)
        3    0.000    0.000    0.000    0.000 posixpath.py:150(dirname)
        1    0.000    0.000    0.000    0.000 resource.py:298(__init__)
        2    0.000    0.000    0.000    0.000 cocoa.py:325(set_vsync)
        2    0.000    0.000    0.000    0.000 resource.py:106(get_script_home)
        1    0.000    0.000    0.000    0.000 vertexdomain.py:738(IndexedVertexList)
        1    0.000    0.000    0.000    0.000 allocation.py:87(Allocator)
        1    0.000    0.000    0.000    0.000 polynomial.py:1456(Polynomial)
        6    0.000    0.000    0.000    0.000 core.py:1147(__init__)
        1    0.000    0.000    0.000    0.000 atlas.py:36(<module>)
        3    0.000    0.000    0.000    0.000 datetime.py:1602(__new__)
        2    0.000    0.000    0.000    0.000 base.py:210(__init__)
        1    0.000    0.000    0.000    0.000 vertexbuffer.py:279(VertexBufferObject)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.000    0.000 datetime.py:1245(time)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 datetime.py:473(timedelta)
        1    0.000    0.000    0.000    0.000 machar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:3258(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        5    0.000    0.000    0.000    0.000 datetime.py:428(_check_time_fields)
        1    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 utils.py:147(deprecate)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 pyglet_window.py:43(PygletWindow_Implementation)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1228(_get_parent_path)
        1    0.000    0.000    0.000    0.000 pathlib.py:136(<setcomp>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        4    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1092(set_data)
        3    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        2    0.000    0.000    0.000    0.000 cocoa.py:286(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
        3    0.000    0.000    0.000    0.000 os.py:682(__setitem__)
        2    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 threading.py:1274(__init__)
        2    0.000    0.000    0.022    0.011 cocoa.py:91(get_matching_configs)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_pack_uint32)
        2    0.000    0.000    0.000    0.000 linalg.py:135(_commonType)
       12    0.000    0.000    0.000    0.000 abc.py:89(register)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
        1    0.000    0.000    0.000    0.000 shapes.py:1371(Polygon)
       20    0.000    0.000    0.000    0.000 __init__.py:331(__init__)
        1    0.000    0.000    0.000    0.000 core.py:198(<listcomp>)
        2    0.000    0.000    0.001    0.000 cocoa.py:311(update_geometry)
       23    0.000    0.000    0.000    0.000 overrides.py:202(array_function_from_dispatcher)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:438(__exit__)
        1    0.000    0.000    0.001    0.001 pyglet_delegate.py:111(windowDidBecomeKey_)
       18    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        1    0.000    0.000    0.000    0.000 hermite.py:1641(Hermite)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        2    0.000    0.000    0.000    0.000 contextlib.py:215(contextmanager)
        2    0.000    0.000    0.001    0.000 cocoa.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 enum.py:914(_create_pseudo_member_)
        2    0.000    0.000    0.000    0.000 __init__.py:474(set_vsync)
       28    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 queue.py:34(__init__)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        4    0.000    0.000    0.000    0.000 getlimits.py:522(max)
       14    0.000    0.000    0.000    0.000 mixins.py:26(_reflected_binary_method)
        1    0.000    0.000    0.000    0.000 event.py:47(WindowEventLogger)
        2    0.000    0.000    0.000    0.000 base.py:316(attach)
        1    0.000    0.000    0.000    0.000 pathlib.py:399(_NormalAccessor)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:62(<setcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.000    0.000 runtime.py:674(ObjCMethod)
        1    0.000    0.000    0.000    0.000 pyglet_delegate.py:122(windowDidResignKey_)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      6/4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1232(_recalculate)
        1    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:257(_mac_os_check)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.unsetenv}
        1    0.000    0.000    0.000    0.000 base.py:60(__init__)
        1    0.000    0.000    0.000    0.000 numeric.py:144(ones)
        2    0.000    0.000    0.000    0.000 __init__.py:228(<listcomp>)
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6714(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:857(__init__)
        1    0.000    0.000    0.000    0.000 tokenize.py:325(find_cookie)
        1    0.000    0.000    0.000    0.000 base.py:129(EventLoop)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
        2    0.000    0.000    0.000    0.000 datetime.py:1270(__new__)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:44(english_upper)
        1    0.000    0.000    0.000    0.000 lib.py:179(__init__)
        4    0.000    0.000    0.000    0.000 re.py:223(split)
        1    0.000    0.000    0.000    0.000 parse.py:147(_NetlocResultMixinBase)
        1    0.000    0.000    0.000    0.000 threading.py:925(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:70(_wrapreduction)
        1    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1760(LoggerAdapter)
       13    0.000    0.000    0.000    0.000 mixins.py:36(_inplace_binary_method)
        5    0.000    0.000    0.000    0.000 re.py:203(sub)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 linecache.py:36(getlines)
        3    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 chebyshev.py:1982(Chebyshev)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        3    0.000    0.000    0.000    0.000 enum.py:81(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
        1    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.008    0.004 base.py:100(get_default_screen)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        2    0.000    0.000    0.001    0.000 hashlib.py:82(__get_builtin_constructor)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        3    0.000    0.000    0.000    0.000 enum.py:537(_check_for_existing_members)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sprite.py:115(SpriteGroup)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 framework.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 {method 'tobytes' of 'numpy.generic' objects}
        2    0.000    0.000    0.000    0.000 base.py:303(__init__)
        1    0.000    0.000    0.000    0.000 legendre.py:1608(Legendre)
      4/3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1245(__iter__)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6673(numeric_type_aliases)
        4    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 zipfile.py:773(ZipExtFile)
        1    0.000    0.000    0.000    0.000 __init__.py:62(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1218(_find_parent_path_names)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
        6    0.000    0.000    0.000    0.000 functools.py:478(lru_cache)
        1    0.000    0.000    0.000    0.000 _iotools.py:229(NameValidator)
        1    0.000    0.000    0.000    0.000 __init__.py:818(on_resize)
        6    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        1    0.000    0.000    0.000    0.000 base.py:55(__init__)
        1    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 base.py:134(__init__)
        1    0.000    0.000    0.000    0.000 resource.py:283(Loader)
        2    0.000    0.000    0.000    0.000 cocoalibs.py:55(get_NSString)
        1    0.000    0.000    0.000    0.000 __init__.py:424(validate)
        1    0.000    0.000    0.000    0.000 model.py:102(PrimitiveType)
        1    0.000    0.000    0.000    0.000 numeric.py:75(zeros_like)
        1    0.000    0.000    0.000    0.000 cocoa.py:98(os_x_version)
        2    0.000    0.000    0.000    0.000 os.py:688(__delitem__)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__init__)
        1    0.000    0.000    0.000    0.000 queue.py:258(_PySimpleQueue)
        1    0.000    0.000    0.000    0.000 __init__.py:1361(Texture)
        1    0.000    0.000    0.000    0.000 __init__.py:2034(getLogger)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1212(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6234(mvoid)
        2    0.000    0.000    0.000    0.000 threading.py:521(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 gl_info.py:66(GLInfo)
        1    0.000    0.000    0.000    0.000 png.py:1307(Reader)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1635(HermiteE)
        1    0.000    0.000    0.000    0.000 pyglet_window.py:86(PygletToolWindow_Implementation)
        4    0.000    0.000    0.000    0.000 base.py:358(__init__)
        1    0.000    0.000    0.000    0.000 bz2.py:27(BZ2File)
        9    0.000    0.000    0.000    0.000 _pytesttester.py:75(__init__)
        1    0.000    0.000    0.000    0.000 laguerre.py:1592(Laguerre)
        6    0.000    0.000    0.000    0.000 os.py:758(decode)
        2    0.000    0.000    0.000    0.000 base.py:289(<lambda>)
        3    0.000    0.000    0.000    0.000 platform.py:950(machine)
        1    0.000    0.000    0.000    0.000 zipfile.py:2227(Path)
        1    0.000    0.000    0.000    0.000 platform.py:779(uname_result)
        1    0.000    0.000    0.000    0.000 random.py:792(getrandbits)
        2    0.000    0.000    0.000    0.000 posixpath.py:372(abspath)
        2    0.000    0.000    0.004    0.002 lib.py:115(load_library)
        1    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        2    0.000    0.000    0.000    0.000 model.py:264(__init__)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(linspace)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        3    0.000    0.000    0.000    0.000 ufunclike.py:41(_fix_out_named_y)
        1    0.000    0.000    0.000    0.000 __init__.py:543(AbstractImageSequence)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:81(BaseSelector)
        1    0.000    0.000    0.000    0.000 datetime.py:1214(IsoCalendarDate)
        1    0.000    0.000    0.000    0.000 tempfile.py:450(_TemporaryFileWrapper)
       11    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       15    0.000    0.000    0.000    0.000 _inspect.py:142(<lambda>)
        1    0.000    0.000    0.000    0.000 core.py:6429(MaskedConstant)
        1    0.000    0.000    0.000    0.000 enum.py:947(__or__)
        1    0.000    0.000    0.000    0.000 __init__.py:553(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 lib.py:108(LibraryLoader)
        2    0.000    0.000    0.000    0.000 datetime.py:823(__new__)
        4    0.000    0.000    0.000    0.000 mixins.py:51(_unary_method)
        1    0.000    0.000    0.000    0.000 cocoa.py:99(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:371(AbstractImage)
        8    0.000    0.000    0.000    0.000 getlimits.py:90(_register_type)
        1    0.000    0.000    0.000    0.000 threading.py:216(Condition)
        1    0.000    0.000    0.000    0.000 arrayterator.py:16(Arrayterator)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:913(source_to_code)
        3    0.000    0.000    0.000    0.000 datetime.py:45(_days_before_year)
        3    0.000    0.000    0.000    0.000 runtime.py:1123(decorator)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1087(_cache_bytecode)
       16    0.000    0.000    0.000    0.000 _inspect.py:143(<lambda>)
        3    0.000    0.000    0.000    0.000 index_tricks.py:310(__init__)
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 linalg.py:125(_realType)
        2    0.000    0.000    0.022    0.011 base.py:164(get_best_config)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2249(any)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:2(polyfit)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.000    0.000 glu_info.py:67(GLUInfo)
        1    0.000    0.000    0.000    0.000 numerictypes.py:560(_register_types)
       16    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
        1    0.000    0.000    0.000    0.000 __init__.py:848(Handler)
        1    0.000    0.000    0.000    0.000 bmp.py:92(BITMAPV4HEADER)
        3    0.000    0.000    0.000    0.000 linalg.py:107(_makearray)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1778(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 _internal.py:248(_ctypes)
        1    0.000    0.000    0.000    0.000 animation.py:79(Animation)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'select.kqueue' objects}
        2    0.000    0.000    0.000    0.000 core.py:6532(__setattr__)
        1    0.000    0.000    0.000    0.000 getlimits.py:445(iinfo)
        2    0.000    0.000    0.000    0.000 textwrap.py:477(prefixed_lines)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.000    0.000 records.py:318(recarray)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
        1    0.000    0.000    0.000    0.000 hmac.py:27(HMAC)
        2    0.000    0.000    0.000    0.000 arrayprint.py:458(decorating_function)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:357(_get_scalar_type_map)
        2    0.000    0.000    0.000    0.000 arrayprint.py:1546(set_string_function)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 ElementTree.py:1515(XMLParser)
        9    0.000    0.000    0.000    0.000 enum.py:244(<genexpr>)
       10    0.000    0.000    0.000    0.000 enum.py:414(<genexpr>)
        1    0.000    0.000    0.000    0.000 threading.py:589(Barrier)
